domain,"domain_type","domain_wc","match_depth","sort_order"
"s3-accesspoint.dualstack.af-south-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.af-south-1.amazonaws.com",6,4
"s3-website.dualstack.af-south-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.af-south-1.amazonaws.com",6,4
"s3-website.dualstack.af-south-1.amazonaws.com",PRIVATE,"s3-website.dualstack.af-south-1.amazonaws.com",6,4
"s3.dualstack.ap-east-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-east-1.amazonaws.com",6,4
"s3.dualstack.ap-east-1.amazonaws.com",PRIVATE,"s3.dualstack.ap-east-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-east-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-east-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-east-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-east-1.amazonaws.com",6,4
"s3.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"s3.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-1.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-northeast-1.amazonaws.com",6,4
"s3.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"s3.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-2.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-northeast-2.amazonaws.com",6,4
"s3.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"s3.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3-website.dualstack.ap-northeast-3.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-northeast-3.amazonaws.com",6,4
"s3.dualstack.ap-south-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-south-1.amazonaws.com",6,4
"s3.dualstack.ap-south-1.amazonaws.com",PRIVATE,"s3.dualstack.ap-south-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-south-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-south-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-south-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-south-1.amazonaws.com",6,4
"s3-website.dualstack.ap-south-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-south-1.amazonaws.com",6,4
"s3-website.dualstack.ap-south-1.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-south-1.amazonaws.com",6,4
